product_category_name_english,total_orders
"bed_bath_table",22230
"health_beauty",19340
"sports_leisure",17282
"furniture_decor",16668
"computers_accessories",15654
"housewares",13928
"watches_gifts",11982
"telephony",9090
"garden_tools",8694
"auto",8470
"toys",8234
"cool_stuff",7592
"perfumery",6838
"baby",6130
"electronics",5534
"stationery",5034
"fashion_bags_accessories",4062
"pet_shop",3894
"office_furniture",3382
"consoles_games",2274
"luggage_accessories",2184
"construction_tools_construction",1858
NULL,1627
"home_appliances",1542
"musical_instruments",1360
"small_appliances",1358
"home_construction",1208
"books_general_interest",1106
"food",1020
"furniture_living_room",1006
"home_confort",868
"drinks",758
"audio",728
"market_place",622
"construction_tools_lights",608
"air_conditioning",594
"kitchen_dining_laundry_garden_furniture",562
"food_drink",556
"industry_commerce_and_business",536
"books_technical",534
"fixed_telephony",528
"fashion_shoes",524
"costruction_tools_garden",476
"home_appliances_2",476
"agro_industry_and_commerce",424
"art",418
"computers",406
"signaling_and_security",398
"construction_tools_safety",388
"christmas_supplies",306
"fashion_male_clothing",264
"fashion_underwear_beach",262
"furniture_bedroom",218
"costruction_tools_tools",206
"tablets_printing_image",166
"small_appliances_home_oven_and_coffee",152
"cine_photo",144
"dvds_blu_ray",128
"books_imported",120
"fashio_female_clothing",96
"party_supplies",86
"diapers_and_hygiene",78
"music",76
"furniture_mattress_and_upholstery",76
"flowers",66
"home_comfort_2",60
"fashion_sport",60
"arts_and_craftmanship",48
"cds_dvds_musicals",28
"la_cuisine",28
"fashion_childrens_clothes",16
security_and_services,4
